month,Unnamed: 0,bank_name,inward_interbank_volume,inward_costumer_volume,inward_total_volume,inward_percentage_volume,inward_interbank_amt,inward_costumer_amt,inward_total_amt,inward_percentage_amt,outward_interbank_volume,outward_costumer_volume,outward_total_volume,outward_percentage_volume,outward_interbank_amt,outward_costumer_amt,outward_total_amt,outward_percentage_amt,outward_inward_ratio
2019-02-01,20001,Andhra Pradesh State Co-Operative Bank Ltd.,48,1117,1165,0.01,49065.69,252154.34,301220.03,0.03,28,3630,3658,0.03,14728.67,300483.26,315211.93,0.03,1.0464507622550863
2019-02-01,20002,Andhra Pragathi Grameena Bank,66,1535,1601,0.01,8589.94,163864.44,172454.38,0.02,371,3614,3985,0.04,25002.12,212000.81,237002.94,0.02,1.3742935378040269
2019-02-01,20003,Apna Sahakari Bank Ltd.,20,2618,2638,0.02,17730.56,128709.7,146440.26,0.01,13,3350,3363,0.03,17450.0,135810.59,153260.59,0.01,1.0465741456618554
2019-02-01,20004,Au Small Finance Bank Limited,530,11546,12076,0.11,307788.22,833318.88,1141107.09,0.1,125,16677,16802,0.15,314640.14,867519.93,1182160.07,0.1,1.035976448100064
2019-02-01,20005,Australia And New Zealand Banking Group Limited,126,1000,1126,0.01,175195.54,198421.4,373616.94,0.03,116,1122,1238,0.01,88810.95,340887.28,429698.23,0.04,1.1501037131774592
2019-02-01,20007,Bandhan Bank Limited,218,33783,34001,0.31,740206.75,665884.68,1406091.43,0.12,232,53601,53833,0.49,537642.0,824987.87,1362629.87,0.12,0.9690905163969318
2019-02-01,20009,Bank Of Bahrain & Kuwait B S C,108,495,603,0.01,132938.47,30325.86,163264.33,0.01,55,60,115,0.0,137552.09,49834.46,187386.55,0.02,1.1477494808572086
2019-02-01,20011,Bank Of Ceylon,15,227,242,0.0,6071.47,5977.3,12048.77,0.0,45,572,617,0.01,8737.64,6086.74,14824.38,0.0,1.2303645932323382
2019-02-01,20013,Bank Of Maharashtra,3834,81696,85530,0.77,617166.69,2137407.38,2754574.08,0.24,3077,104172,107249,0.97,742050.72,2590966.76,3333017.49,0.3,1.2099937751537981
2019-02-01,20014,Bank Of Nova Scotia,24,539,563,0.01,99821.01,511429.18,611250.19,0.05,18,344,362,0.0,103112.32,546458.29,649570.62,0.06,1.0626918905334002
2019-02-01,20015,Bank Of Tokyo Mitsubishi Ufj Ltd,178,3841,4019,0.04,722518.91,987365.74,1709884.65,0.15,183,4793,4976,0.04,928716.75,990533.8,1919250.55,0.17,1.1224444584609845
